    Harvard School of Public Health College Alcohol Study, 1999

                          ICPSR 3818

      Record Layout for the ASCII (LRECL) Version of the Data


           Variable    Start    End
             Name     Column  Column    Type
           --------   ------  ------   -------
           E3           237     237    Numeric
           E4           238     238    Numeric
           E5           239     239    Numeric
           E6           240     240    Numeric
           E7           241     241    Numeric
           E8           242     242    Numeric
           E9           243     243    Numeric
           E10          244     244    Numeric
           E11          245     245    Numeric
           E12          246     246    Numeric
           E13          247     247    Numeric
           E14A         248     248    Numeric
           E14B         249     249    Numeric
           E14C         250     250    Numeric
           E14D         251     251    Numeric
           E14E         252     252    Numeric
           E14F         253     253    Numeric
           E14G         254     254    Numeric
           E14H         255     255    Numeric
           E14I         256     256    Numeric
           E14J         257     257    Numeric
           E14K         258     258    Numeric
           E15          259     259    Numeric
           E16          260     260    Numeric
           E17          261     261    Numeric
           E18          262     262    Numeric
           E19A         263     263    Numeric
           E19B         264     264    Numeric
           E19C         265     265    Numeric
           E19D         266     266    Numeric
           E19E         267     267    Numeric
           E20A         268     268    Numeric
           E20B         269     269    Numeric
           E20C         270     270    Numeric
           E21          271     271    Numeric
           E22          272     272    Numeric
           E23          273     273    Numeric
           E24          274     274    Numeric
           F1           275     275    Numeric
           F2           276     276    Numeric
           F3           277     277    Numeric
           F4           278     279    Numeric
           F5A          280     280    Numeric
           F5B          281     281    Numeric
           F5C          282     282    Numeric
           F5D          283     283    Numeric
           F5E          284     284    Numeric
           F5F          285     285    Numeric
           F5G          286     286    Numeric
           F5H          287     287    Numeric
           F6A          288     288    Numeric
           F6B          289     289    Numeric
           F6C          290     290    Numeric
           F6D          291     291    Numeric
           F6E          292     292    Numeric
           F6F          293     293    Numeric
           F6G          294     294    Numeric
           F6H          295     295    Numeric
           F6I          296     296    Numeric
           F6J          297     297    Numeric
           F6K          298     298    Numeric
           G1           299     299    Numeric
           G2           300     300    Numeric
           G3A          301     301    Numeric
           G3B          302     302    Numeric
           G3C          303     303    Numeric
           G3D          304     304    Numeric
           G3E          305     305    Numeric
           G4           306     306    Numeric
           G5A          307     307    Numeric
           G5B          308     308    Numeric
           G6           309     309    Numeric
           G7           310     312    Numeric
           G8FEET       313     313    Numeric
           G8INCH       314     315    Numeric
           G9A          316     316    Numeric
           G9B          317     317    Numeric
           G9C          318     318    Numeric
           G9D          319     319    Numeric
           G9E          320     320    Numeric
           G9F          321     321    Numeric
           G9G          322     322    Numeric
           G9H          323     323    Numeric
           G9I          324     324    Numeric
           G10          325     325    Numeric
           G11          326     326    Numeric
           G12          327     327    Numeric
           G13          328     328    Numeric
           G14          329     329    Numeric
           G15          330     330    Numeric
           G16          331     331    Numeric
           G17          332     332    Numeric
           G18          333     333    Numeric
           G19          334     334    Numeric
           G20          335     335    Numeric
           SEX          336     336    Numeric
           DRINKCAT     337     337    Numeric
           OCCALC       338     338    Numeric
           USUALBIN     339     339    Numeric
           DRUNKN30     340     340    Numeric
           DR2DRUNK     341     341    Numeric
           DRPROBA      342     342    Numeric
           DRPROBB      343     343    Numeric
           DRPROBC      344     344    Numeric
           DRPROBD      345     345    Numeric
           DRPROBE      346     346    Numeric
           DRPROBF      347     347    Numeric
           DRPROBG      348     348    Numeric
           DRPROBH      349     349    Numeric
           DRPROBI      350     350    Numeric
           DRPROBJ      351     351    Numeric
           DRPROBK      352     352    Numeric
           DRPROBL      353     353    Numeric
           DRPROBM      354     354    Numeric
           DRPROBN      355     355    Numeric
           DRDRIVE      356     356    Numeric
           BNGDRIVE     357     357    Numeric
           PASSDRDV     358     358    Numeric
           SECALC_A     359     359    Numeric
           SECALC_B     360     360    Numeric
           SECALC_C     361     361    Numeric
           SECALC_D     362     362    Numeric
           SECALC_E     363     363    Numeric
           SECALC_F     364     364    Numeric
           SECALC_G     365     365    Numeric
           SECALC_H     366     366    Numeric
           SECALC_I     367     367    Numeric
           SECALC_J     368     368    Numeric
           SECALC_K     369     369    Numeric
           DAYE1A       370     370    Numeric
           DAYE1B       371     371    Numeric
           DAYE1C       372     372    Numeric
           DAYE1D       373     373    Numeric
           DAYE1E       374     374    Numeric
           DAYE1F       375     375    Numeric
           DAYE1G       376     376    Numeric
           DAYE1H       377     377    Numeric
           DAYE1I       378     378    Numeric
           DAYE1J       379     379    Numeric
           DAYE1K       380     380    Numeric
           DAYE1L       381     381    Numeric
           DAYE1M       382     382    Numeric
           DAYE1N       383     383    Numeric
           DAYE1O       384     384    Numeric
           DAYE1P       385     385    Numeric
           YEARE1A      386     386    Numeric
           YEARE1B      387     387    Numeric
           YEARE1C      388     388    Numeric
           YEARE1D      389     389    Numeric
           YEARE1E      390     390    Numeric
           YEARE1F      391     391    Numeric
           YEARE1G      392     392    Numeric
           YEARE1H      393     393    Numeric
           YEARE1I      394     394    Numeric
           YEARE1J      395     395    Numeric
           YEARE1K      396     396    Numeric
           YEARE1L      397     397    Numeric
           YEARE1M      398     398    Numeric
           YEARE1N      399     399    Numeric
           YEARE1O      400     400    Numeric
           YEARE1P      401     401    Numeric
           HSUBINGE     402     402    Numeric
           BINGE        403     403    Numeric
           DRIVE        404     404    Numeric
           NUMPROB      405     407    Numeric
           ANYDRUG1     408     408    Numeric
           ANYDRUG2     409     409    Numeric
           PERSIST      410     410    Numeric
           PROB5        411     411    Numeric
           GIVEUP       412     412    Numeric
           NOBINGE      413     413    Numeric
           UPTAKE       414     414    Numeric
           CONTBING     415     415    Numeric
           DD_1         416     416    Numeric
           DD_5         417     417    Numeric
           SMOKE30      418     418    Numeric
           SMOKEYR      419     419    Numeric
           SURVDATE     420     425    Numeric
           FULLYEAR     426     429    Numeric
           YEAR         430     431    Numeric
           OTH          432     432    Numeric
           NATIVAM      433     433    Numeric
           OTHER        434     434    Numeric
           AA           435     435    Numeric
           ASIAN        436     436    Numeric
           RACE         437     437    Numeric
           CLASS        438     438    Numeric
           HISPANIC     439     439    Numeric
           NEVERMAR     440     440    Numeric
           YOUNGSTU     441     441    Numeric
           WHITE        442     442    Numeric
           CIGUSE       443     443    Numeric
           CIGYEAR      444     444    Numeric
           EVERSMOK     445     445    Numeric
           SMOKERS      446     446    Numeric
           QUITTERS     447     447    Numeric
           UNDERAGE     448     448    Numeric
           FREQBING     449     449    Numeric
           MEMGREEK     450     450    Numeric
           FRESH        451     451    Numeric
           SOPH         452     452    Numeric
           JUNIOR       453     453    Numeric
           SENIOR       454     454    Numeric
           ATHLETE      455     455    Numeric
           CHEWTOB      456     456    Numeric
           PHYSACT      457     457    Numeric
           EVERCHEW     458     458    Numeric
           CHEWQUIT     459     459    Numeric
           DORMS        460     460    Numeric
           OFFCAMP      461     461    Numeric
           FRATHOUS     462     462    Numeric
           OTHRHOUS     463     463    Numeric
           PARDRK       464     464    Numeric
           PARAPRV      465     465    Numeric
           GRADE        466     466    Numeric
           F70FRND      467     467    Numeric
           F30FRND      468     468    Numeric
           AGEGROUP     469     469    Numeric
           AGELT21      470     470    Numeric
           AGE2123      471     471    Numeric
           AGEGT23      472     472    Numeric
           SELFRATE     473     473    Numeric
           SELFEVER     474     474    Numeric
           STWGT_99     475     493    Numeric
           WEIGHT99     494     512    Numeric
           VOL30        513     517    Numeric
           SERIAL       518     520    Numeric
           DATEMO       521     521    Numeric
           DATEDAY      522     523    Numeric
           DATEYR       524     525    Numeric
           COMMENTS     526     526    Numeric
           IPEDS        527     530    Numeric
